Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality
1665533175.101874,377,1665461175,0,GPS1_Frame,42.337337493896484,-71.08676147460938,8.300000190734863,328091.84375,4689340.5,19,T,5
1665533176.094655,378,1665461176,0,GPS1_Frame,42.337337493896484,-71.08675384521484,8.300000190734863,328091.9375,4689340.5,19,T,5
1665533177.1007633,379,1665461177,0,GPS1_Frame,42.337337493896484,-71.08675384521484,8.399999618530273,328092.15625,4689340.5,19,T,5
1665533178.0882208,380,1665461178,0,GPS1_Frame,42.337337493896484,-71.08674621582031,8.399999618530273,328092.53125,4689340.5,19,T,5
1665533179.0969028,381,1665461179,0,GPS1_Frame,42.33734130859375,-71.08674621582031,8.399999618530273,328092.75,4689340.5,19,T,5
1665533180.109461,382,1665461180,0,GPS1_Frame,42.33734130859375,-71.08674621582031,8.300000190734863,328092.96875,4689340.5,19,T,5
1665533181.095448,383,1665461181,0,GPS1_Frame,42.33734130859375,-71.08674621582031,8.5,328093.0625,4689340.5,19,T,5
1665533182.107992,384,1665461182,0,GPS1_Frame,42.33734130859375,-71.08673858642578,8.5,328093.25,4689340.5,19,T,5
1665533183.0977669,385,1665461183,0,GPS1_Frame,42.33734130859375,-71.08673858642578,8.5,328093.5,4689341.0,19,T,5
1665533184.1126854,386,1665461184,0,GPS1_Frame,42.33734130859375,-71.08673095703125,8.5,328093.8125,4689341.0,19,T,5
1665533185.103927,387,1665461185,0,GPS1_Frame,42.33734130859375,-71.08673095703125,8.600000381469727,328093.90625,4689341.0,19,T,5
1665533186.1153429,388,1665461186,0,GPS1_Frame,42.33734130859375,-71.08673095703125,8.800000190734863,328094.125,4689341.0,19,T,5
1665533187.090963,389,1665461187,0,GPS1_Frame,42.337345123291016,-71.08673095703125,8.899999618530273,328094.1875,4689341.0,19,T,5
1665533188.1001337,390,1665461188,0,GPS1_Frame,42.33734130859375,-71.08673095703125,8.899999618530273,328094.3125,4689341.0,19,T,5
1665533189.0874708,391,1665461189,0,GPS1_Frame,42.33734130859375,-71.08672332763672,9.0,328094.5625,4689341.0,19,T,5
1665533190.1037874,392,1665461190,0,GPS1_Frame,42.33734130859375,-71.08672332763672,9.199999809265137,328094.8125,4689341.0,19,T,5
1665533191.0992124,393,1665461191,0,GPS1_Frame,42.33734130859375,-71.08672332763672,9.399999618530273,328094.96875,4689341.0,19,T,5
1665533192.0940871,394,1665461192,0,GPS1_Frame,42.33734130859375,-71.08671569824219,9.399999618530273,328095.25,4689341.0,19,T,5
1665533193.10688,395,1665461193,0,GPS1_Frame,42.33734130859375,-71.08670806884766,9.300000190734863,328095.65625,4689341.0,19,T,5
1665533194.0965726,396,1665461194,0,GPS1_Frame,42.337345123291016,-71.08670806884766,9.199999809265137,328096.15625,4689341.0,19,T,5
1665533195.0971868,397,1665461195,0,GPS1_Frame,42.337345123291016,-71.08670043945312,9.199999809265137,328096.5,4689341.0,19,T,5
1665533196.0990403,398,1665461196,0,GPS1_Frame,42.33734130859375,-71.08670043945312,9.300000190734863,328096.6875,4689341.0,19,T,5
1665533197.0939808,399,1665461197,0,GPS1_Frame,42.33734130859375,-71.0866928100586,9.399999618530273,328096.96875,4689341.0,19,T,5
1665533198.1032386,400,1665461198,0,GPS1_Frame,42.33734130859375,-71.0866928100586,9.800000190734863,328097.09375,4689340.5,19,T,5
1665533199.0994418,401,1665461199,0,GPS1_Frame,42.337337493896484,-71.08670043945312,10.399999618530273,328096.8125,4689340.0,19,T,5
1665533200.1103218,402,1665461200,0,GPS1_Frame,42.33733367919922,-71.08670043945312,10.800000190734863,328096.78125,4689340.0,19,T,5
1665533201.1060727,403,1665461201,0,GPS1_Frame,42.33732986450195,-71.08670043945312,11.5,328096.5,4689339.5,19,T,5
1665533202.103055,404,1665461202,0,GPS1_Frame,42.33732604980469,-71.08670043945312,12.300000190734863,328096.34375,4689339.0,19,T,5
1665533203.1083233,405,1665461203,0,GPS1_Frame,42.33732223510742,-71.08670043945312,12.800000190734863,328096.375,4689338.5,19,T,5
1665533204.0946438,406,1665461204,0,GPS1_Frame,42.33732223510742,-71.08670043945312,12.899999618530273,328096.65625,4689338.5,19,T,5
